Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
110;TEQUILA;"AV. RAFAEL OBLIGADO";6211;49401/09;335 personas;C;RENOVADO 2011;94;16/10/2009;113;17/10/2011;;;118;15/10/2010
111;MAGNOLIA;"A.  MOREAU DE JUSTO";1007;1082617/09;100 personas;C.C;SUSPENDIDO;95;23/10/2009;108;30/09/2011;;;95;23/10/2009
112;NON SERVIAM;SARMIENTO ;667;1927/09;1100 personas;C;RENOVADO 2011;104;12/112009;129;11/11/2011;;;104;12/11/2009
113;THE CHURCH;SUIPACHA ;842;1445687;220 personas;C.C;RENOVADO 2011;113;18/12/2009;144;19/12/2011;;;113;18/12/2009
114;MÓDENA DESIGN;"FIGUEROA ALCORTA ";2270; 48.226/09.;581 personas;C;RENOVADO 2011;116;30/12/2009;148;28/12/2011;;;116;30/12/2009
115;NIX/PREVIOUS;"HIPOLITO YRIGOYEN ";847/49/851;18225/10;958 personas;C;RENOVADO 2012;4;15/01/2010;36;09/03/2012;;;4;15/01/2010
116;NEO CLUB;SANTOS DUMONT;4056/60;1544367/09;500 personas;C;RENOVADO 2012;10;29/01/2010;11;24/02/2012;;;10;29/01/2010
117;GROOVE;AV. SANTA FE ;4389/99;147846/10;1685 personas;C;RENOVADO 2012;51;31/03/2010;55;30/03/2012;;;51;31/03/2010
118;MOD;BALCARCE ;563;1130684/10;586 personas;C;RENOVADO 2011;123;22/10/2010;12;24/02/2012;;;123;22/10/2010
119;AMBAR;AV. BEIRO;3124/28;1527712/10;247 personas;C.C;RENOVADO 2012;150;28/12/2010;63;24/04/2012;;;150;28/12/2010
120;"TERRAZAS DEL ESTE";"R. OBLIGADO Y SARMIENTO";;1602841/10;3158 personas;C;RENOVADO 2011;10;10/02/2011;147;28/12/2011;; ;151;28/12/2010
121;DISCO SIX;AV. CABILDO;3241;23050/11;900 personas;C;RENOVADO 2012;1;10/01/2011;1;10/01/2012;;;1;10/01/2011
122;YOUR CLUB;SUIPACHA ;586;254976/11;520personas;C;RENOVADO 2012;43;23/03/2011;44;20/03/2012;;;43;23/03/2011
123;WANNA;DARWIN ;1574;519875/11;563 personas;C;RENOVADO 2012;59;28/04/2011;64;24/04/2012;;;59;29/03/2011
123;WANNA;Av. J. B. JUSTO;1634;519875/11;563 personas;C;RENOVADO 2012;59;28/04/2011;64;24/04/2012;;;59;29/03/2011
124;RIVDADAVIA 9131;Av. RIVADAVIA;9131;316734/11;120 personas;C.C;RENOVADO 2012;63;13/05/2011;70;18/05/2012;;;63;13/05/2011
125;PIZZA BANANA;"AV. RAFAEL OBLIGADO";6201;736109/11;1143 personas;C;RENOVADO 2012;68;20/05/2011;73;23/05/2012;;;68;20/05/2011
126;WHO;EMMA DE LA BARRA;333;990186/11;490 personas;C;INSCRIPCION VENCIDA;89;22/07/2011;;;;;89;22/07/2011
127;BOUTIQUE;PERÚ;529/35/41;1241520/11;1950 personas;C;RENOVADO 2012;93;18/08/2011;108;17/08/2012;;;93;18/08/2011
128;OPIUM GARDEN;AV. JUAN B. JUSTO ;1659/75;1653447/11;626 personas;;INSCRIPCION 2011 ;111;07/10/2011;;;;;111;07/10/2011
129;VIEJO CORREO;AV. DIAZ VELEZ;4820;37589/09;300 personas;C;INSCRIPCION 2011 ;119;04/11/2011;;;;;119;04/11/2011
130;ROSEBAR;HONDURAS;5445;2040335/11;1370 personas;C;INSCRIPCION 2011 ;139;29/11/2011;;;;;139;29/11/2011
131;OYE CHICO;MONTEVIDEO ;306/50;2204807/11;200 personas;C.C;INSCRIPCION 2011 ;146;22/12/2011;;;;;146;22/12/2011
132;ONE MORE;AV. BEIRO;3334/6;207312/12;480 personas;C;INSCRIPCION 2012;12;24/02/2012;;;; ;12;24/02/2012
133;BROOK;AV. JUAN B. JUSTO ;1574;407626/12;700 personas;C;INSCRIPCION 2012;33;09/03/2012;;;;;9;09/03/2012
134;RABBIT;Av. SCALABRINI ORTIZ;1648/50;540934/12;784 personas;C;INSCRIPCION 2012;96;06/07/2012;;;;;96;06/07/2012
